"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","Pb206.U238","Pb206.U238_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
"MB07-2","MB07-2-66",0.114,0.0028,4.9994,0.112,0.318,0.0031,1780,15,1864,45,-2.2
"MB07-2","MB07-2-67",0.0976,0.001,3.6074,0.046,0.2668,0.0023,1524,12,1578,12,-1.8
"MB07-2","MB07-2-68",0.1964,0.0021,14.9752,0.1739,0.5508,0.0039,2829,16,2797,10,0.5
"MB07-2","MB07-2-69",0.0579,0.0015,0.7208,0.0184,0.0904,9e-04,558,5,528,38,1.3
"MB07-2","MB07-2-70",0.1114,0.0011,5.1386,0.0559,0.3328,0.0021,1852,10,1822,11,0.5
"MB07-2","MB07-2-71",0.0607,0.0011,0.8225,0.0136,0.0981,7e-04,603,4,628,24,-1
"MB07-2","MB07-2-72",0.0608,9e-04,0.9554,0.0145,0.1134,8e-04,693,5,632,20,1.7
"MB07-2","MB07-2-73",0.0735,0.0021,2.0467,0.0573,0.2025,0.0021,1189,11,1027,40,4.9
"MB07-2","MB07-2-74",0.1813,0.002,12.4497,0.1475,0.4953,0.004,2594,17,2665,10,-1.7
"MB07-2","MB07-2-75",0.0745,0.001,1.903,0.0291,0.1842,0.0018,1090,10,1055,16,0.7
"MB07-2","MB07-2-76",0.0553,0.0018,0.5318,0.0178,0.0695,0.001,433,6,423,50,0
"MB07-2","MB07-2-77",0.0592,0.0035,0.7182,0.0423,0.0889,0.0015,549,9,574,99,-0.2
"MB07-2","MB07-2-78",0.0705,0.0013,1.5234,0.0285,0.1561,0.0015,935,8,942,23,-0.5
"MB07-2","MB07-2-79",0.0665,0.001,1.1365,0.0196,0.123,0.0012,748,7,821,21,-3.1
"MB07-2","MB07-2-80",0.0588,0.0011,0.7726,0.0146,0.0949,9e-04,585,5,560,24,0.7
"MB07-2","MB07-2-81",0.0582,0.0014,0.7386,0.018,0.092,8e-04,567,5,537,37,0.9
"MB07-2","MB07-2-82",0.0732,0.0014,1.9,0.0398,0.1874,0.0021,1107,12,1019,25,2.3
"MB07-2","MB07-2-83",0.0733,0.0011,1.6281,0.0297,0.1606,0.0023,960,13,1023,17,-2.2
"MB07-2","MB07-2-84",0.0787,0.0023,1.7522,0.049,0.161,0.0015,962,8,1165,41,-6.9
"MB07-2","MB07-2-85",0.0599,0.0014,0.763,0.0182,0.092,8e-04,567,5,598,36,-1.6
"MB07-2","MB07-2-86",0.0585,7e-04,0.7466,0.0097,0.0923,6e-04,569,4,547,17,0.5
"MB07-2","MB07-2-87",0.0594,0.0016,0.745,0.0203,0.0909,9e-04,561,5,583,42,-0.7
"MB07-2","MB07-2-88",0.079,0.0012,2.2217,0.0337,0.2032,0.0014,1193,8,1173,19,0.4
"MB07-2","MB07-2-89",0.059,0.0014,0.7384,0.0165,0.0908,7e-04,560,4,566,36,-0.2
"MB07-2","MB07-2-90",0.0688,0.0013,1.3046,0.0309,0.1366,0.0018,825,10,894,28,-2.8
"MB07-2","MB07-2-91",0.0576,0.0011,0.663,0.0128,0.0832,9e-04,515,5,515,25,-0.2
"MB07-2","MB07-2-92",0.0746,0.001,1.8521,0.0241,0.1799,0.0015,1066,8,1056,14,0.2
"MB07-2","MB07-2-93",0.0804,0.002,2.2459,0.0618,0.2017,0.0025,1184,13,1207,35,-1
"MB07-2","MB07-2-94",0.0743,0.0011,1.755,0.0277,0.1709,0.0014,1017,8,1048,19,-1.2
"MB07-2","MB07-2-95",0.0591,9e-04,0.7927,0.0115,0.0972,8e-04,598,5,572,18,0.8
"MB07-2","MB07-2-97",0.0695,0.0018,1.3346,0.0353,0.1395,0.0014,842,8,914,38,-2.3
"MB07-2","MB07-2-98",0.0687,0.0012,1.3724,0.0236,0.1445,0.001,870,6,889,24,-0.8
"MB07-2","MB07-2-99",0.0784,0.001,2.2099,0.0302,0.2038,0.0015,1196,8,1157,16,1
"MB07-2","MB07-2-100",0.0742,8e-04,1.8689,0.0223,0.1821,0.0014,1079,8,1046,12,0.8
"GBJD","GBJD-01",0.0583,0.0021,0.7223,0.0235,0.0899,0.0022,555,13,541,33,0.5
"GBJD","GBJD-02",0.0591,0.0013,0.7955,0.0159,0.0977,0.0021,601,12,572,21,1.2
"GBJD","GBJD-03",0.079,0.002,2.1912,0.0508,0.2014,0.0047,1183,25,1172,21,0.4
"GBJD","GBJD-04",0.059,0.002,0.7897,0.0247,0.0972,0.0023,598,14,566,32,1.2
"GBJD","GBJD-05",0.0798,0.0017,2.3872,0.047,0.2171,0.0048,1266,25,1192,19,2.1
"GBJD","GBJD-06",0.0683,0.002,1.4463,0.0396,0.1538,0.0037,922,21,876,25,1.5
"GBJD","GBJD-07",0.0588,0.0022,0.7826,0.0265,0.0967,0.0024,595,14,558,35,1.3
"GBJD","GBJD-08",0.0653,0.0136,0.8859,0.1699,0.0986,0.0094,606,55,782,251,-6.3
"GBJD","GBJD-09",0.0769,0.0021,2.0359,0.0519,0.1921,0.0046,1133,25,1120,23,0.4
"GBJD","GBJD-10",0.2694,0.0029,25.1362,0.2769,0.6772,0.0137,3334,53,3303,18,0.6
"GBJD","GBJD-11",0.059,0.0014,0.7726,0.0168,0.095,0.0021,585,12,567,22,0.7
"GBJD","GBJD-12",0.058,0.0016,0.7238,0.0184,0.0906,0.0021,559,12,530,25,1.1
"GBJD","GBJD-13",0.0678,0.0018,1.4089,0.0339,0.1509,0.0034,906,19,862,22,1.4
"GBJD","GBJD-14",0.0795,0.003,2.1777,0.077,0.1988,0.0055,1169,29,1185,32,-0.4
"GBJD","GBJD-15",0.0784,0.0014,2.2038,0.0376,0.2041,0.0043,1197,23,1157,19,1.3
"GBJD","GBJD-16",0.059,0.0015,0.7423,0.0173,0.0913,0.002,563,12,567,23,-0.2
"GBJD","GBJD-17",0.066,0.0038,1.2148,0.0637,0.1337,0.0045,809,26,805,57,0.2
"GBJD","GBJD-18",0.0775,0.0023,2.0809,0.0579,0.195,0.0049,1148,26,1133,25,0.4
"GBJD","GBJD-19",0.0843,0.0036,2.1894,0.0863,0.1886,0.0057,1114,31,1299,36,-5.7
"GBJD","GBJD-20",0.0574,0.0023,0.675,0.0244,0.0854,0.0022,529,13,505,38,0.9
"GBJD","GBJD-21",0.0768,0.0029,2.0804,0.0713,0.1967,0.0055,1158,29,1115,31,1.4
"GBJD","GBJD-22",0.0585,0.0027,0.6938,0.0298,0.0861,0.0023,532,14,550,49,-0.6
"GBJD","GBJD-23",0.0578,0.0023,0.6798,0.0253,0.0855,0.0022,529,13,520,40,0.4
"GBJD","GBJD-24",0.0686,0.001,1.397,0.0199,0.1478,0.003,889,17,887,20,0.1
"GBJD","GBJD-25",0.1735,0.0076,11.5374,0.4766,0.4828,0.0198,2540,86,2592,31,-1.1
